matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
4,1,1st,0 1 4 0 1 4,10,0,10,0,KL Rahul,5,3,Mayank Agarwal,5,3,Chetan Sakariya,10 - 1
4,2,1st,2 0 1 1 Wd 2 4,10,1,11,0,KL Rahul,6,4,Mayank Agarwal,14,8,Mustafizur Rahman,21 - 0
4,3,1st,0 0 1 W 0 0,1,0,1,1,KL Rahul,7,7,Chris Gayle,0,2,Chetan Sakariya,22 - 1
4,4,1st,4 2 0 0 Wd 1 1,8,1,9,0,KL Rahul,14,12,Chris Gayle,1,3,Chris Morris,31 - 1
4,5,1st,0 1 1 Wd 4 0 1,7,1,8,0,KL Rahul,15,13,Chris Gayle,7,8,Mustafizur Rahman,39 - 1
4,6,1st,0 0 2 0 4 1,7,0,7,0,KL Rahul,15,13,Chris Gayle,14,14,Chris Morris,46 - 1
4,7,1st,1 0 4 1 4 2,12,0,12,0,KL Rahul,20,16,Chris Gayle,21,17,Shreyas Gopal,58 - 1
4,8,1st,4 1 6 0 0 1,12,0,12,0,KL Rahul,25,18,Chris Gayle,28,21,Ben Stokes,70 - 1
4,9,1st,1 1 0 4 0 6,12,0,12,0,KL Rahul,26,19,Chris Gayle,39,26,Rahul Tewatia,82 - 1
4,10,1st,4 1 1 1 W 0,7,0,7,1,KL Rahul,32,22,Deepak Hooda,0,1,Riyan Parag,89 - 2
4,11,1st,2 1 1 2 6 1,13,0,13,0,KL Rahul,44,27,Deepak Hooda,1,2,Rahul Tewatia,102 - 2
4,12,1st,1 1 1 0 4 1,8,0,8,0,KL Rahul,46,29,Deepak Hooda,7,6,Shreyas Gopal,110 - 2
4,13,1st,1 6 1 6 0 6,20,0,20,0,KL Rahul,53,31,Deepak Hooda,20,10,Shivam Dube,130 - 2
4,14,1st,1 6 6 0 6 1,20,0,20,0,KL Rahul,54,32,Deepak Hooda,39,15,Shreyas Gopal,150 - 2
4,15,1st,1 2 0 6 1 1,11,0,11,0,KL Rahul,63,36,Deepak Hooda,41,17,Mustafizur Rahman,161 - 2
4,16,1st,6 2 1 0 1 1,11,0,11,0,KL Rahul,64,38,Deepak Hooda,51,21,Chris Morris,172 - 2
4,17,1st,0 1 1 0 4 N4 4,14,1,15,0,KL Rahul,65,39,Deepak Hooda,64,27,Chetan Sakariya,187 - 2
4,18,1st,6 1 W 6 1 W,14,0,14,2,KL Rahul,79,43,Nicholas Pooran,0,1,Chris Morris,201 - 4
4,19,1st,1 1 N Wd 4 2 1 4,13,2,15,0,KL Rahul,87,48,Shahrukh Khan,5,2,Mustafizur Rahman,216 - 4
4,20,1st,4 W 0 1 0 W,5,0,5,2,Jhye Richardson,0,2,Shahrukh Khan,6,4,Chetan Sakariya,221 - 6
4,1,2nd,0 0 W 0 4 0,4,0,4,1,Sanju Samson,4,3,Manan Vohra,0,0,Mohammed Shami,4 - 1
4,2,2nd,Wd 6 0 0 4 0 2,12,1,13,0,Sanju Samson,4,3,Manan Vohra,12,6,Jhye Richardson,17 - 1
4,3,2nd,0 0 0 4 0 4,8,1,9,0,Sanju Samson,12,9,Manan Vohra,12,6,Mohammed Shami,25 - 1
4,4,2nd,0 W 1 0 0 4,5,0,5,1,Sanju Samson,16,12,Jos Buttler,1,1,Arshdeep Singh,30 - 2
4,5,2nd,4 4 4 4 1 1,18,0,18,0,Sanju Samson,17,13,Jos Buttler,18,6,Riley Meredith,48 - 2
4,6,2nd,4 1 0 1 4 1,11,0,11,0,Sanju Samson,27,17,Jos Buttler,19,8,Arshdeep Singh,59 -2
4,7,2nd,N1 4 1 0 0 L1 L1,6,3,9,0,Sanju Samson,28,21,Jos Buttler,24,11,Murugan Ashwin,68 - 2
4,8,2nd,1 1 W 4 2 2,10,0,10,1,Sanju Samson,29,22,Shivam Dube,8,3,Jhye Richardson,78 - 3
4,9,2nd,6 0 1 0 1 1,9,0,9,0,Sanju Samson,37,26,Shivam Dube,9,5,Riley Meredith,87 - 3
4,10,2nd,1 1 Wd Wd 1 1 0 2,6,2,8,0,Sanju Samson,41,30,Shivam Dube,11,7,Murugan Ashwin,95 - 3
4,11,2nd,1 6 2 4 0 1,14,0,14,0,Sanju Samson,54,35,Shivam Dube,12,8,Riley Meredith,109 - 3
4,12,2nd,1 0 4 1 1 1,8,0,8,0,Sanju Samson,56,37,Shivam Dube,18,12,Murugan Ashwin,117 - 3
4,13,2nd,4 1 1 W 1 4,11,0,11,1,Sanju Samson,58,39,Riyan Parag,4,1,Arshdeep Singh,128 - 4
4,14,2nd,0 4 1 6 1 1,13,0,13,0,Sanju Samson,64,43,Riyan Parag,11,3,Mohammed Shami,141 - 4
4,15,2nd,1 1 4 6 1 0,13,0,13,0,Sanju Samson,76,47,Riyan Parag,12,5,Jhye Richardson,154 - 4
4,16,2nd,6 1 0 6 6 1,20,0,20,0,Sanju Samson,83,49,Riyan Parag,25,9,Murugan Ashwin,174 - 4
4,17,2nd,Wd 0 W 0 Wd 1 4 1,6,2,8,1,Sanju Samson,88,51,Rahul Tewatia,1,2,Mohammed Shami,182 - 5
4,18,2nd,4 6 4 2 Wd 1 1,18,1,19,0,Sanju Samson,105,56,Rahul Tewatia,2,3,Jhye Richardson,201 - 5
4,19,2nd,W 0 1 6 1 0,8,0,8,1,Sanju Samson,112,58,Chris Morris,1,3,Riley Meredith,209 - 6
4,20,2nd,0 1 1 6 0 W,8,0,8,1,Sanju Samson,119,63,Chris Morris,2,4,Arshdeep Singh,217 - 7
