matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
6,2,2nd,Wd 0 1 1 2 4 0,8,1,9,0,Wriddhiman Saha,1,7,David Warner,7,5,Kyle Jamieson,13 - 0
6,3,2nd,0 W 0 0 Wd 0 1,1,1,2,1,Manish Pandey,1,4,David Warner,7,5,Mohammed Siraj,15 - 1
6,4,2nd,0 6 1 4 0 6,17,0,17,0,Manish Pandey,8,7,David Warner,17,8,Kyle Jamieson,32 - 1
6,5,2nd,0 0 0 4 Wd 1 0,5,1,6,0,Manish Pandey,13,12,David Warner,17,9,Washington Sundar,38 - 1
6,6,2nd,0 1 2 4 4 1,12,0,12,0,Manish Pandey,14,14,David Warner,28,13,Mohammed Siraj,50 - 1
6,7,2nd,Wd 1 4 0 1 0 0,6,1,7,0,Manish Pandey,19,17,David Warner,29,16,Yuzvendra Chahal,57 - 1
6,8,2nd,1 1 0 6 0 0,8,0,8,0,Manish Pandey,26,22,David Warner,30,17,Washington Sundar,65 - 1
6,9,2nd,1 1 1 2 0 0,5,0,5,0,Manish Pandey,29,26,David Warner,32,19,Yuzvendra Chahal,70 - 1
6,10,2nd,4 1 1 0 0 1,7,0,7,0,Manish Pandey,30,27,David Warner,38,24,Harshal Patel,77 - 1
6,11,2nd,4 0 4 1 1 0,10,0,10,0,Manish Pandey,31,28,David Warner,47,29,Yuzvendra Chahal,87 - 1
6,12,2nd,0 0 0 0 1 1,2,0,2,0,Manish Pandey,32,33,David Warner,48,30,Harshal Patel,89 - 1
6,13,2nd,2 2 1 1 0 1,7,0,7,0,Manish Pandey,33,34,David Warner,54,35,Daniel Christian,96 - 1
6,14,2nd,0 W L2 0 0 4,5,1,6,1,Manish Pandey,33,34,Jonny Bairstow,4,4,Kyle Jamieson,102 - 2
6,15,2nd,1 0 1 2 1 1,6,0,6,0,Manish Pandey,37,37,Jonny Bairstow,6,7,Shahbaz Ahmed,108 - 2
6,16,2nd,0 3 1 0 2 1,7,0,7,0,Manish Pandey,38,38,Jonny Bairstow,12,12,Yuzvendra Chahal,115 - 2
6,17,2nd,W W 0 1 0 W,1,0,1,3,Abdul Samad,0,2,Vijay Shankar,1,2,Shahbaz Ahmed,116 - 5
6,18,2nd,1 1 1 N 2 1 W,6,1,7,1,Jason Holder,4,4,Vijay Shankar,3,5,Harshal Patel,123 - 6
6,19,2nd,6 1 W 2 2 0,11,0,11,1,Rashid Khan,11,5,Bhuvneshwar Kumar,0,0,Mohammed Siraj,134 - 7
6,20,2nd,1 2 N4 0 W W 1,9,0,9,2,T Natarajan,0,0,,2,2,Harshal Patel,143 - 9
