matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
6,1,1st,0 4 1 0 0 1,6,0,6,0,Devdutt Padikkal,1,3,Virat Kohli,5,3,Bhuvneshwar Kumar,6 - 0
6,2,1st,4 0 0 0 Wd 4 1,9,1,10,0,Devdutt Padikkal,10,9,Virat Kohli,5,3,Jason Holder,16 - 0
6,3,1st,1 1 0 0 Wd W 1,3,1,4,1,Shahbaz Ahmed,1,1,Virat Kohli,6,4,Bhuvneshwar Kumar,20 - 1
6,4,1st,1 0 1 0 3 1,6,0,6,0,Shahbaz Ahmed,5,4,Virat Kohli,8,7,Jason Holder,26 - 1
6,5,1st,0 1 6 1 1 1,10,0,10,0,Shahbaz Ahmed,13,7,Virat Kohli,10,10,Shahbaz Nadeem,36 - 1
6,6,1st,L1 4 1 1 4 0,10,1,11,0,Shahbaz Ahmed,14,9,Virat Kohli,19,14,T Natarajan,47 - 1
6,7,1st,W 1 0 0 0 0,1,0,1,1,Glenn Maxwell,0,4,Virat Kohli,20,15,Shahbaz Nadeem,48 - 2
6,8,1st,1 Wd 4 0 0 1 0,6,1,7,0,Glenn Maxwell,5,8,Virat Kohli,21,17,Rashid Khan,55 - 2
6,9,1st,1 1 0 0 0 1,0,0,0,0,Glenn Maxwell,7,13,Virat Kohli,22,18,Shahbaz Nadeem,58 - 2
6,10,1st,1 1 L1 1 1 0,4,1,5,0,Glenn Maxwell,9,16,Virat Kohli,24,21,Rashid Khan,63 - 2
6,11,1st,6 4 6 1 4 1,22,0,22,0,Glenn Maxwell,26,20,Virat Kohli,29,23,Shahbaz Nadeem,85 - 2
6,12,1st,2 Wd 0 1 1 0 1,5,1,6,0,Glenn Maxwell,27,21,Virat Kohli,32,28,T Natarajan,91 - 2
6,13,1st,W 0 1 0 0 0,1,0,1,1,Glenn Maxwell,28,23,AB de Villiers,0,3,Jason Holder,92 - 3
6,14,1st,1 1 1 W 0 1,4,0,4,1,Glenn Maxwell,30,25,Washington Sundar,1,2,Rashid Khan,96 - 4
6,15,1st,4 1 1 0 0 1,7,0,7,0,Glenn Maxwell,31,26,Washington Sundar,7,7,Bhuvneshwar Kumar,103 - 4
6,16,1st,0 0 1 1 W 1,3,0,3,1,Glenn Maxwell,33,28,Daniel Christian,0,0,Rashid Khan,106 - 5
6,17,1st,1 1 1 W 0 1,4,0,4,1,Glenn Maxwell,35,30,Kyle Jamieson,1,2,T Natarajan,110 - 6
6,18,1st,4 L1 4 1 4 0,13,1,14,0,Glenn Maxwell,40,32,Kyle Jamieson,9,6,Bhuvneshwar Kumar,124 - 6
6,19,1st,1 2 1 4 0 4,12,0,12,0,Glenn Maxwell,49,36,Kyle Jamieson,12,8,T Natarajan,136 - 6
6,20,1st,W 0 2 Wd 6 Wd 2 Wd W,10,3,13,2,Glenn Maxwell,59,41,Harshal Patel,0,0,Jason Holder,149 - 8
6,1,2nd,0 0 0 0 0 B4,0,4,4,0,Wriddhiman Saha,0,6,David Warner,0,0,Mohammed Siraj,4 - 0
