matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
4,1,1st,1 0 2 0 0 0,3,0,3,0,Quinton de Kock,2,5,Rohit Sharma,1,1,Harbhajan Singh,3 - 0
4,2,1st,0 4 2 0 1 W,7,0,7,1,Quinton de Kock,2,6,Rohit Sharma,8,6,Varun Chakravarthy,10 - 1
4,3,1st,0 4 Wd 4 0 4 1,13,1,14,0,Suryakumar Yadav,13,6,Rohit Sharma,8,6,Harbhajan Singh,24 - 1
4,4,1st,1 1 0 1 1 0,4,0,4,0,Suryakumar Yadav,15,10,Rohit Sharma,10,8,Shakib Al Hasan,28 - 1
4,5,1st,1 0 1 1 Wd 1 4,8,1,9,0,Suryakumar Yadav,17,13,Rohit Sharma,16,11,Varun Chakravarthy,37 - 1
4,6,1st,0 0 0 4 0 1,5,0,5,0,Suryakumar Yadav,22,19,Rohit Sharma,16,11,Pat Cummins,42 - 1
4,7,1st,1 1 1 1 1 1,6,0,6,0,Suryakumar Yadav,25,22,Rohit Sharma,19,14,Shakib Al Hasan,48 - 1
4,8,1st,1 0 6 4 4 1,16,0,16,0,Suryakumar Yadav,40,27,Rohit Sharma,20,15,Prasidh Krishna,64 - 1
4,9,1st,1 1 1 1 1 1,6,0,6,0,Suryakumar Yadav,43,30,Rohit Sharma,23,18,Shakib Al Hasan,70 - 1
4,10,1st,1 0 1 1 6 2,11,0,11,0,Suryakumar Yadav,52,34,Rohit Sharma,25,20,Pat Cummins,81 - 1
4,11,1st,1 4 W 1 0 1,7,0,7,1,Ishan Kishan,1,2,Rohit Sharma,27,25,Shakib Al Hasan,88 - 2
4,12,1st,W 0 1 1 0 1,3,0,3,1,Hardik Pandya,2,4,Rohit Sharma,28,23,Pat Cummins,91 - 3
4,13,1st,0 1 0 1 0 1,3,0,3,0,Hardik Pandya,4,8,Rohit Sharma,29,25,Varun Chakravarthy,94 - 3
4,14,1st,0 0 4 1 6 1,12,0,12,0,Hardik Pandya,9,12,Rohit Sharma,36,27,Prasidh Krishna,106 - 3
4,15,1st,0 1 0 1 4 2,8,0,8,0,Hardik Pandya,10,14,Rohit Sharma,43,31,Varun Chakravarthy,114 - 3
4,16,1st,1 W 0 0 4 0,5,0,5,1,Hardik Pandya,11,15,Kieron Pollard,4,4,Pat Cummins,119 - 4
4,17,1st,4 W 0 1 0 1,6,0,6,1,Krunal Pandya,1,2,Kieron Pollard,5,6,Prasidh Krishna,125 - 5
4,18,1st,0 W Wd W 1 2 1,4,1,5,2,Krunal Pandya,2,3,Rahul Chahar,3,2,Andre Russell,130 - 7
4,19,1st,2 1 L4 4 1 0,8,4,12,0,Krunal Pandya,7,6,Rahul Chahar,6,5,Prasidh Krishna,142 - 7
4,20,1st,4 4 W W 2 W,10,0,10,3,Trent Boult,0,0,Rahul Chahar,8,7,Andre Russell,152 - 10
4,1,2nd,4 0 0 0 0 0,4,0,4,0,Nitish Rana,4,6,Shubman Gill,0,0,Trent Boult,4 - 0
4,2,2nd,2 0 0 1 1 0,4,0,4,0,Nitish Rana,5,7,Shubman Gill,3,5,Marco Jansen,8 - 0
4,3,2nd,6 0 4 0 0 1,11,0,11,0,Nitish Rana,16,13,Shubman Gill,3,5,Trent Boult,19 - 0
4,4,2nd,0 4 0 0 1 4,9,0,9,0,Nitish Rana,21,18,Shubman Gill,7,6,Jasprit Bumrah,28 - 0
4,5,2nd,Wd2 1 1 0 0 0 0,2,2,4,0,Nitish Rana,22,19,Shubman Gill,8,11,Krunal Pandya,32 - 0
4,6,2nd,1 0 4 4 0 4,13,0,13,0,Nitish Rana,23,20,Shubman Gill,20,16,Marco Jansen,45 - 0
4,7,2nd,1 1 0 1 1 1,5,0,5,0,Nitish Rana,26,24,Shubman Gill,22,18,Krunal Pandya,50 - 0
4,8,2nd,0 0 6 4 1 1,12,0,12,0,Nitish Rana,37,29,Shubman Gill,23,19,Kieron Pollard,62 - 0
4,9,2nd,4 0 0 6 W 1,11,0,11,1,Nitish Rana,37,29,Rahul Tripathi,1,1,Rahul Chahar,73 - 1
