matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
4,10,2nd,1 1 1 4 0 1,8,0,8,0,Nitish Rana,43,33,Rahul Tripathi,3,3,Trent Boult,81 - 1
4,11,2nd,1 2 W 0 0 1,4,0,4,1,Nitish Rana,44,34,Eoin Morgan,1,3,Rahul Chahar,85 - 2
4,12,2nd,1 L4 L1 4 1 1,7,5,12,0,Nitish Rana,45,37,Eoin Morgan,7,6,Jasprit Bumrah,97 - 2
4,13,2nd,4 0 2 1 W 0,7,0,7,1,Nitish Rana,52,42,Shakib Al Hasan,0,0,Rahul Chahar,104 - 3
4,14,2nd,4 1 1 1 1 1,9,0,9,0,Nitish Rana,54,44,Shakib Al Hasan,7,4,Rohit Sharma,113 - 3
4,15,2nd,1 2 1 B4 1 W,5,4,9,0,Nitish Rana,57,47,Shakib Al Hasan,9,7,Rahul Chahar,122 - 4
4,16,2nd,0 W 1 0 0 0,1,0,1,1,Andre Russell,0,3,Dinesh Karthik,1,1,Krunal Pandya,123 - 5
4,17,2nd,0 1 0 N 4 1 1,7,1,8,0,Andre Russell,5,7,Dinesh Karthik,3,4,Jasprit Bumrah,131 - 5
4,18,2nd,1 0 1 1 0 0,3,0,3,0,Andre Russell,6,11,Dinesh Karthik,5,6,Krunal Pandya,134 - 5
4,19,2nd,1 1 1 1 0 0,4,0,4,0,Andre Russell,8,13,Dinesh Karthik,7,10,Jasprit Bumrah,138 - 5
4,20,2nd,1 1 W W 2 0,4,0,4,2,Harbhajan Singh,2,2,Dinesh Karthik,8,11,Trent Boult,142 - 7
